"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"295","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/cGjqvlh4X4 https://t.co/g8flCAaMLl",FALSE,0,NA,2018-03-06 17:13:20,FALSE,NA,"971071243985281025",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","nicerverge",0,FALSE,FALSE,NA,NA
"296","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/z21uzseh6f https://t.co/paREwZet2f",FALSE,0,NA,2018-03-06 17:13:15,FALSE,NA,"971071220002246656",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TravisBDriver",0,FALSE,FALSE,NA,NA
"297","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/c42I8LX9WV",FALSE,0,NA,2018-03-06 17:12:09,FALSE,NA,"971070943270522880",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","SamaTecno",0,FALSE,FALSE,NA,NA
"298","RT @verge: This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/qyRZQEI6F3 https://t.co/FuhKIoS6ad",FALSE,0,NA,2018-03-06 17:11:20,FALSE,NA,"971070741276917760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jdyerboy",13,TRUE,FALSE,NA,NA
"299","RT @verge: This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/qyRZQEI6F3 https://t.co/FuhKIoS6ad",FALSE,0,NA,2018-03-06 17:10:34,FALSE,NA,"971070547328200704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nenga_Mac",13,TRUE,FALSE,NA,NA
"300","RT @verge: This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/qyRZQEI6F3 https://t.co/FuhKIoS6ad",FALSE,0,NA,2018-03-06 17:10:27,FALSE,NA,"971070517628297216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WWJRHRD",13,TRUE,FALSE,NA,NA
"301","RT @verge: This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/qyRZQEI6F3 https://t.co/FuhKIoS6ad",FALSE,0,NA,2018-03-06 17:10:25,FALSE,NA,"971070510242070528",NA,"<a href=""https://twitter.com/androidbot_"" rel=""nofollow"">Androidbot7</a>","androidbot_",13,TRUE,FALSE,NA,NA
"302","""This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/Nz9Yh8PcLb… https://t.co/B2nxUshVhB",FALSE,1,NA,2018-03-06 17:10:08,TRUE,NA,"971070435117993985",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","programmingurus",0,FALSE,FALSE,NA,NA
"303","RT @verge: This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/qyRZQEI6F3 https://t.co/FuhKIoS6ad",FALSE,0,NA,2018-03-06 17:10:03,FALSE,NA,"971070415115341824",NA,"<a href=""http://placeholder16541541.de/"" rel=""nofollow"">vergeretweet</a>","vergeretweet",13,TRUE,FALSE,NA,NA
"304","RT @verge: This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/qyRZQEI6F3 https://t.co/FuhKIoS6ad",FALSE,0,NA,2018-03-06 17:08:14,FALSE,NA,"971069957818732546",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NYCKNP",13,TRUE,FALSE,NA,NA
"305","RT @verge: This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/qyRZQEI6F3 https://t.co/FuhKIoS6ad",FALSE,0,NA,2018-03-06 17:07:55,FALSE,NA,"971069879213281280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AvnishOswal",13,TRUE,FALSE,NA,NA
"306","RT @verge: This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/qyRZQEI6F3 https://t.co/FuhKIoS6ad",FALSE,0,NA,2018-03-06 17:07:48,FALSE,NA,"971069851925131264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GarethSayer2",13,TRUE,FALSE,NA,NA
"307","RT @verge: This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/qyRZQEI6F3 https://t.co/FuhKIoS6ad",FALSE,0,NA,2018-03-06 17:07:46,FALSE,NA,"971069839635775490",NA,"<a href=""http://www.blaccspot.com"" rel=""nofollow"">iOS Digest</a>","ios_digest",13,TRUE,FALSE,NA,NA
"308","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/qyRZQEI6F3 https://t.co/FuhKIoS6ad",FALSE,28,NA,2018-03-06 17:07:30,FALSE,NA,"971069774926172165",NA,"<a href=""http://www.voxmedia.com"" rel=""nofollow"">Vox Media</a>","verge",13,FALSE,FALSE,NA,NA
